genre_name,genre_id
Screamo,346288dd-154f-4c1c-b3e5-8a3b300bec34
Celtic Punk,d0095b17-27b0-4bc6-bf55-810a77674c55
Bossa Nova,8cac46d7-9822-45dc-94f7-41aa51213812
Tropical House,bfd70995-963f-4816-86f3-8a5338abed00
Melodic Hardcore,290fcabc-33f8-4b8a-85c6-a5b02673c5af
Death Industrial,220b9358-fe05-4792-a111-d45f251c4809
Spoken Word,fd93d70d-3dec-494c-bb50-86d2ad46e8bf
Progressive Metal,93de639a-da10-471f-a3b9-7c9922d97b5d
Rockabilly,3108ff08-a851-4eb6-8ebe-56600c34a2fa
Latin Pop,8e95d569-4e3d-4eae-9730-f74a0de8d541
Latin Alternative,66e281b5-6d8c-40b0-ac58-a17cfc0e4efb
Electro,b0f4f901-1a7d-48cb-9bf3-651276337f25
Grunge,0c24d599-3ede-4523-a8b2-df4debba2a6f
House,84477c30-7cfc-428f-98ee-93335842c057
Post-Hardcore,1fb0f0f0-a89a-41d3-877c-54f9d0e73ae0
French House,10573424-9c8b-4f14-bfda-cf3f89bd5288
Synthwave,7228f4b4-9da3-45ec-a047-fbf479dfa5ce
Deep House,e12cd849-4398-4999-a2c9-7e5c9d3ef0ad
Roots Rock,ce077e93-1a68-4db2-ac52-68246882027c
Noise Rock,2f02d95e-45ae-4a10-9668-44ea677f72ac
Electro House,945c78c9-9932-4a78-a010-23cc368af92b
Rock Opera,0b341cf3-4294-4e2a-b25c-81d8c3138a39
Tribal Ambient,1fbc1cac-6dfb-4c72-97ad-1050e94acd8c
Rock & Roll,97eea5ba-b1a8-48be-a1b6-bd51e0e5c2df
Ambient,9727486c-73d4-4ae6-a34b-41434a83c0e3
Drone Metal,9ebb8919-5dcd-45fd-913d-d99d33c8e121
Alternative Metal,b6367794-b907-47e6-b08e-1087b9543982
Blue-eyed Soul,8ca99017-4196-4770-aeee-7d43808a272d
Jazz,bc49d2a5-7779-42b0-b4c9-963fd93ade3d
Freak Folk,d777ef03-0e56-4efc-9d06-7f72abab7406
Punk,39d75d13-c12b-4d53-9a8c-787d2f34d3e7
Indie Folk,48d79cde-b0f5-4dde-8d39-b4e4d9bd2480
Reggae,9c5afd5e-8c5d-4f11-8861-5d2a703573f8
Neo-Soul,eaeb2f3e-0ea4-4c65-8131-4259747eda42
Pop Rock,c11744da-30c3-4989-a402-143419390d2b
Bluegrass,bf4b918c-54bc-484d-b7dc-8adafdc07cee
Psychedelic Soul,7e80a77c-526c-47e6-bfbb-0aa0877e702b
Metalcore,246fb3c8-ec19-46a5-9361-b8bb643682ea
Psychedelic Pop,26ef0d24-b840-4228-bd5a-8e90600b5c5d
Electroclash,cbf0a7ed-8350-47c4-8878-e4ba5b2a49cf
New Wave,887d83e9-cd55-40c9-8991-e37e9e967c4a
Heavy Metal,abed07ec-89bd-4e4d-9f5a-616aea9681c8
Alternative R&B,3b50aea1-d30e-4f39-8c08-03fdc1d3ab55
Funk Rock,bc2055c0-7382-47d5-89ee-179adc6767e7
Soft Rock,8c9af680-959d-48e0-a628-b3514b31e115
Psychobilly,187f814f-d8cf-41ec-9116-ed23c1e050d2
Adult Contemporary,7e67659a-cb7f-42b1-8f81-e42b6d5de93f
Alt-Country,8a984354-ea60-4582-9d6f-57608398f303
Groove Metal,550d8bc4-83a4-4fc1-9790-8d1c32291f3d
Twee Pop,a967bb9d-6bbf-491b-9869-40ed0c30ed70
Atmospheric Black Metal,efe2f5b0-c6f8-484d-9494-a80b2d28dfde
Future Bass,ace090b1-e153-477b-a208-600cdb17c039
Post-Punk,d674b7cf-3771-47f5-8c26-cf3f47e7deb4
Melodic Black Metal,520020c6-1d68-4bcc-9e97-bd28cc0b75cb
Boom Bap,368d612c-8776-44a5-af4d-36532b5d466d
Comedy Rock,24229c93-45a4-46fc-97dc-dfb734d89f75
Avant-Garde Jazz,06292ad9-7a01-4bf0-bb85-3d92d0d1da98
Minimal Synth,4ebc3683-e5a3-4af1-a68d-5967408392cb
Darkwave,fa7030b3-7343-441e-8778-c228f28da27a
Standards,85ab2a08-896f-474c-bfa7-4102756e37e3
Pop Rap,be858490-15fb-4fb1-813b-1b5f15bfea8f
Classic Rock,108bc0bb-0d84-42e4-aa7b-b9efdce4019f
Gothic Metal,038f5ec7-ae02-4027-87ae-536047d0f921
Sunshine Pop,fe20df3a-d277-4912-a154-e8963da5ae8c
Minimal Wave,e8d017f2-99d7-4d32-9e4e-ca623a18e8cc
